"State","Population","Violent.crime.total","Murder.and.nonnegligent.Manslaughter","Legacy.rape..1","Revised.rape..2","Robbery","Aggravated.assault","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft","Violent.Crime.rate","Murder.and.nonnegligent.manslaughter.rate","Legacy.rape.rate..1","Revised.rape.rate..2","Robbery.rate","Aggravated.assault.rate","Property.crime.rate","Burglary.rate","Larceny.theft.rate","Motor.vehicle.theft.rate","Year"
"Vermont",625953,891,8,131,,114,638,15653,4179,11014,460,142.3,1.3,20.9,,18.2,101.9,2500.7,667.6,1759.6,73.5,"2012"
"Virginia",8186628,15676,322,1505,,4718,9131,178434,29651,139654,9129,191.5,3.9,18.4,,57.6,111.5,2179.6,362.2,1705.9,111.5,"2012"
"Washington",6895318,20553,217,2250,,5801,12285,254377,61376,166338,26663,298.1,3.1,32.6,,84.1,178.2,3689.1,890.1,2412.3,386.7,"2012"
"West Virginia",1856680,5943,70,415,,835,4623,44500,11466,30800,2234,320.1,3.8,22.4,,45,249,2396.8,617.6,1658.9,120.3,"2012"
"Wisconsin",5724554,16254,169,1228,,4692,10165,140780,27931,104619,8230,283.9,3,21.5,,82,177.6,2459.2,487.9,1827.5,143.8,"2012"
"Wyoming",576626,1161,14,154,,61,932,13222,2125,10513,584,201.3,2.4,26.7,,10.6,161.6,2293,368.5,1823.2,101.3,"2012"
"Alabama",4833996,20834,346,1449,2055,4645,13788,161835,42410,108862,10563,431,7.2,30,42.5,96.1,285.2,3347.9,877.3,2252,218.5,"2013"
"Alaska",737259,4709,34,657,925,623,3127,21211,2917,16599,1695,638.7,4.6,89.1,125.5,84.5,424.1,2877,395.7,2251.4,229.9,"2013"
"Arizona",6634997,27576,355,2344,3174,6656,17391,223294,48292,158036,16966,415.6,5.4,35.3,47.8,100.3,262.1,3365.4,727.8,2381.9,255.7,"2013"
"Arkansas",2958765,13705,158,1135,1490,2261,9796,106477,30369,70430,5678,463.2,5.3,38.4,50.4,76.4,331.1,3598.7,1026.4,2380.4,191.9,"2013"
"California",38431393,154739,1746,7464,10324,53640,89029,1018907,232058,621557,165292,402.6,4.5,19.4,26.9,139.6,231.7,2651.2,603.8,1617.3,430.1,"2013"
"Colorado",5272086,16099,174,2198,2963,3136,9826,139974,25075,102375,12524,305.4,3.3,41.7,56.2,59.5,186.4,2655,475.6,1941.8,237.6,"2013"
"Connecticut",3599341,9439,91,647,891,3551,4906,71274,12934,52099,6241,262.2,2.5,18,24.8,98.7,136.3,1980.2,359.3,1447.5,173.4,"2013"
"Delaware",925240,4633,41,278,399,1233,2960,29001,6299,21347,1355,500.7,4.4,30,43.1,133.3,319.9,3134.4,680.8,2307.2,146.4,"2013"
"District of Columbia",649111,8415,103,297,395,4082,3835,31097,3316,24547,3234,1296.4,15.9,45.8,60.9,628.9,590.8,4790.7,510.9,3781.6,498.2,"2013"
"Florida",19600311,91993,972,4765,6767,23200,61054,607170,138915,433344,34911,469.3,5,24.3,34.5,118.4,311.5,3097.8,708.7,2210.9,178.1,"2013"
"Georgia",9994759,37519,563,2022,2891,12704,21361,339808,83459,229190,27159,375.4,5.6,20.2,28.9,127.1,213.7,3399.9,835,2293.1,271.7,"2013"
"Hawaii",1408987,3585,32,366,508,934,2111,45266,7777,32928,4561,254.4,2.3,26,36.1,66.3,149.8,3212.7,552,2337,323.7,"2013"
"Idaho",1612843,3471,29,516,674,220,2548,30230,6693,21999,1538,215.2,1.8,32,41.8,13.6,158,1874.3,415,1364,95.4,"2013"
"Illinois",12890552,51956,722,3895,5340,17733,28161,296048,59093,216059,20896,403.1,5.6,30.2,41.4,137.6,218.5,2296.6,458.4,1676.1,162.1,"2013"
"Indiana",6570713,23627,357,1623,2241,7114,13915,187472,42754,130534,14184,359.6,5.4,24.7,34.1,108.3,211.8,2853.1,650.7,1986.6,215.9,"2013"
"Iowa",3092341,8443,41,873,1133,937,6332,67976,15918,47803,4255,273,1.3,28.2,36.6,30.3,204.8,2198.2,514.8,1545.9,137.6,"2013"
"Kansas",2895801,9928,117,1003,1295,1339,7177,85704,17476,61557,6671,342.8,4,34.6,44.7,46.2,247.8,2959.6,603.5,2125.7,230.4,"2013"
"Kentucky",4399583,9280,172,951,1646,3247,4215,104448,26331,72048,6069,210.9,3.9,21.6,37.4,73.8,95.8,2374,598.5,1637.6,137.9,"2013"
"Louisiana",4629284,24127,494,1248,1763,5539,16331,165679,41214,115300,9165,521.2,10.7,27,38.1,119.7,352.8,3578.9,890.3,2490.7,198,"2013"
"Maine",1328702,1761,24,366,495,335,907,30454,6480,23063,911,132.5,1.8,27.5,37.3,25.2,68.3,2292,487.7,1735.8,68.6,"2013"
"Maryland",5938737,28235,384,1179,1679,10048,16124,157918,31950,112551,13417,475.4,6.5,19.9,28.3,169.2,271.5,2659.1,538,1895.2,225.9,"2013"
